source_id,company,document_name,document_type,publish_date,reporting_period,accessed_date,url_or_file,page_or_section,supported_metric_id,source_grade,summary,note
S_FRAMEWORK,中国联通,中国运营商投资价值调研_Agent分步执行手册_V2.0_Review修订版,研究框架,,,2026-08-03,/mnt/data/中国运营商投资价值调研_Agent分步执行手册_V2.0_Review修订版(3).md,Phase 1、中国联通扩展包、数据可得性地图,CTRL_*;ENTITY_*;MODEL_*,N/A,规定Phase 1一次性建立2020—2025历史和最新公开期数据底座。,方法论来源。
S_H2020,中国联通,China Unicom (Hong Kong) Limited Annual Report 2020,H股年报,2021-03,2020A,2026-08-03,https://www.chinaunicom.com.hk/en/ir/reports/ar2020.pdf,Financial highlights; Business overview; Financial statements,H_FIN_*;REV_*;COST_*;CAPEX_*;OP_*;DIV_DPS_H,A,支持2020年H股经营主体财务、成本、运营、资本开支及分红。,
S_H2021,中国联通,China Unicom (Hong Kong) Limited Annual Report 2021,H股年报,2022-03,2021A,2026-08-03,https://www.chinaunicom.com.hk/en/ir/reports/ar2021.pdf,Financial highlights; Business overview; Financial statements,H_FIN_*;REV_*;COST_*;CAPEX_*;OP_*;DIV_DPS_H,A,支持2021年H股经营主体财务、成本、运营、资本开支及分红。,
S_H2022,中国联通,China Unicom (Hong Kong) Limited Annual Report 2022,H股年报,2023-03,2022A,2026-08-03,https://www.chinaunicom.com.hk/en/ir/reports/ar2022.pdf,Financial highlights; Business overview; Financial statements,H_FIN_*;REV_*;COST_*;CAPEX_*;OP_*;DIV_DPS_H,A,支持2022年H股经营主体财务、成本、运营、资本开支及分红。,
S_H2023,中国联通,China Unicom (Hong Kong) Limited Annual Report 2023,H股年报,2024-03,2023A,2026-08-03,https://www.chinaunicom.com.hk/en/ir/reports/ar2023.pdf,Financial highlights; Business overview; Financial statements,H_FIN_*;REV_*;COST_*;CAPEX_*;OP_*;DIV_DPS_H,A,支持2023年H股经营主体财务、成本、运营、资本开支及分红。,
S_H2024,中国联通,China Unicom (Hong Kong) Limited Annual Report 2024,H股年报,2025-03,2024A,2026-08-03,https://www.chinaunicom.com.hk/en/ir/reports/ar2024.pdf,Financial highlights; Business overview; Financial statements,H_FIN_*;REV_*;COST_*;CAPEX_*;OP_*;DIV_DPS_H,A,支持2024年H股经营主体财务、成本、运营、资本开支及分红。,
S_H2025,中国联通,China Unicom (Hong Kong) Limited Annual Report 2025,H股年报,2026-03,2025A,2026-08-03,https://www.chinaunicom.com.hk/en/ir/reports/ar2025.pdf,Financial highlights; Business overview; Financial statements,H_FIN_*;REV_*;COST_*;CAPEX_*;OP_*;DIV_DPS_H,A,支持2025年H股经营主体财务、成本、运营、资本开支及分红。,
S_A2020,中国联通,中国联合网络通信股份有限公司2020年年度报告,A股年报,2021-03,2020A,2026-08-03,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=6943705&stockid=600050,主要财务数据；合并财务报表；利润分配,A_FIN_*;ENTITY_*;DIV_*;BS_*,A,支持2020年A股归母、少数股东、现金流、净资产和分红。,公司公告或公告镜像。
S_A2021,中国联通,中国联合网络通信股份有限公司2021年年度报告,A股年报,2022-03,2021A,2026-08-03,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=7881569&stockid=600050,主要财务数据；合并财务报表；利润分配,A_FIN_*;ENTITY_*;DIV_*;BS_*,A,支持2021年A股归母、少数股东、现金流、净资产和分红。,公司公告或公告镜像。
S_A2022,中国联通,中国联合网络通信股份有限公司2022年年度报告,A股年报,2023-03,2022A,2026-08-03,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=8872506&stockid=600050,主要财务数据；合并财务报表；利润分配,A_FIN_*;ENTITY_*;DIV_*;BS_*,A,支持2022年A股归母、少数股东、现金流、净资产和分红。,公司公告或公告镜像。
