app_id,app_name,historical_name,bundle_package_id,owner,month,country,platform,downloads,mau,dau,store_revenue,rank_category,rank_grossing,rating,rating_count,review_increment,update_count,data_provider,secondary_check,confidence,collected_date,note
JOYY_BIGOLIVE,Bigo Live,,sg.bigo.live,BIGO Technology Pte. Ltd. / JOYY,2026-07,Global,Google Play,,,,,,,4.5,6450000,,,Google Play public listing,JOYY 2025 Form 20-F / developer identity,medium,2026-08-01,Public snapshot only. Google Play shows a cumulative install band of at least 500m; this is not monthly downloads and is deliberately not written into the downloads field. Source: https://play.google.com/store/apps/details?id=sg.bigo.live
JOYY_BIGOLIVE,Bigo Live,,1077137248,BIGO Technology Pte. Ltd. / JOYY,2026-07,Global,iOS,,,,,,,,,,,Apple App Store identity page,Google Play / JOYY filing,high,2026-08-01,"Identity/package snapshot only; no comparable country-month download, MAU or revenue data available. Source: https://apps.apple.com/app/id1077137248"
JOYY_LIKEE,Likee,,video.like,Likeme Pte. Ltd. / JOYY,2026-07,Global,Google Play,,,,,,,4.4,11400000,,,Google Play public listing,JOYY 2025 Form 20-F / developer identity,medium,2026-08-01,Public snapshot only. Google Play shows a cumulative install band of at least 1000m; this is not monthly downloads and is deliberately not written into the downloads field. Source: https://play.google.com/store/apps/details?id=video.like
JOYY_LIKEE,Likee,,1251790681,Likeme Pte. Ltd. / JOYY,2026-07,Global,iOS,,,,,,,,,,,Apple App Store identity page,Google Play / JOYY filing,high,2026-08-01,"Identity/package snapshot only; no comparable country-month download, MAU or revenue data available. Source: https://apps.apple.com/app/id1251790681"
JOYY_IMO,imo,,com.imo.android.imoim,"PageBites, Inc. / JOYY",2026-07,Global,Google Play,,,,,,,4.4,9050000,,,Google Play public listing,JOYY 2025 Form 20-F / developer identity,medium,2026-08-01,Public snapshot only. Google Play shows a cumulative install band of at least 1000m; this is not monthly downloads and is deliberately not written into the downloads field. Source: https://play.google.com/store/apps/details?id=com.imo.android.imoim
JOYY_IMO,imo,,336435697,"PageBites, Inc. / JOYY",2026-07,Global,iOS,,,,,,,,,,,Apple App Store identity page,Google Play / JOYY filing,high,2026-08-01,"Identity/package snapshot only; no comparable country-month download, MAU or revenue data available. Source: https://apps.apple.com/app/id336435697"
JOYY_HAGO,Hago,,com.yy.hiyo,HAGO SINGAPORE PTE. LTD. / JOYY,2026-07,Global,Google Play,,,,,,,4.1,6380000,,,Google Play public listing,JOYY 2025 Form 20-F / developer identity,medium,2026-08-01,Public snapshot only. Google Play shows a cumulative install band of at least 100m; this is not monthly downloads and is deliberately not written into the downloads field. Source: https://play.google.com/store/apps/details?id=com.yy.hiyo
JOYY_HAGO,Hago,,1400667917,HAGO SINGAPORE PTE. LTD. / JOYY,2026-07,Global,iOS,,,,,,,,,,,Apple App Store identity page,Google Play / JOYY filing,high,2026-08-01,"Identity/package snapshot only; no comparable country-month download, MAU or revenue data available. Source: https://apps.apple.com/app/id1400667917"
JOYY_BIGOLIVE,Bigo Live,,sg.bigo.live,BIGO Technology Pte. Ltd. / JOYY,2026-07,Philippines,Google Play,,,,,11,,,,,,Similarweb public app page,Google Play developer identity / JOYY filings,medium,2026-08-01,"Similarweb July 2026 28-day usage-rank snapshot. Social usage rank #11; all-category usage rank #215. This is a point-in-time rank based on current installs and active users, not downloads, MAU, revenue or growth."
JOYY_BIGOLIVE,Bigo Live,,sg.bigo.live,BIGO Technology Pte. Ltd. / JOYY,2026-07,Saudi Arabia,Google Play,,,,,12,,,,,,Similarweb public app page,Google Play developer identity / JOYY filings,medium,2026-08-01,"Similarweb July 2026 28-day usage-rank snapshot. Social usage rank #12; all-category usage rank #211. This is a point-in-time rank based on current installs and active users, not downloads, MAU, revenue or growth."
