watch_type,project,country,2036_gross_technical_ktU,option_capacity_ktU_y,earliest_FID_year,construction_years,hurdle_base_2026real_USD_lb,realization_ceiling,capacity_quality,why_watch,status_source_url,capacity_source_url,schedule_source_url
Known_preFID_2036_critical,Rook I / Arrow,Canada,11.08,11.08,2026,4,65.0,0.85,B-/C+,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://www.nexgenenergy.ca/assets/arrow/,,https://www.nexgenenergy.ca/rook-1-project/
Known_preFID_2036_critical,Patterson Lake South (Triple R),Canada,3.461804754211862,3.461804754211862,2027,4,70.0,0.82,A/B,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://www.paladinenergy.com.au/pls/,,https://www.paladinenergy.com.au/investors/asx-announcements/
Known_preFID_2036_critical,Mkuju River,Tanzania,3.0,3.0,2027,3,90.0,0.5,C,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://www.uranium1.com/news/news/rosatom-s-subsidiary-has-launched-a-pilot-uranium-processing-facility-at-the-mkuju-river-project-in-/,,https://www.uranium1.com/news/news/rosatom-s-subsidiary-has-launched-a-pilot-uranium-processing-facility-at-the-mkuju-river-project-in-/
Known_preFID_2036_critical,Gryphon (Wheeler River),Canada,2.923302,2.923302,2029,4,75.0,0.45,B+,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://denisonmines.com/projects/wheeler-river-project/gryphon/,,https://denisonmines.com/projects/wheeler-river-project/gryphon/
Known_preFID_2036_critical,Roughrider,Canada,2.615586,2.615586,2029,4,85.0,0.35,B-/C+,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://www.uraniumenergy.com/news/releases/2024/index.php?content_id=1073,,https://www.uraniumenergy.com/news/releases/index.php?content_id=1132
Known_preFID_2036_critical,Midwest Main ISR,Canada,2.3463339999999997,2.3463339999999997,2029,3,80.0,0.35,C+,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://denisonmines.com/news/denison-announces-results-from-midwest-isr-prelimi-122828/,,https://denisonmines.com/news/denison-announces-results-from-midwest-isr-prelimi-122828/
Known_preFID_2036_critical,Rabbit Lake restart option,Canada,1.6,1.6,2027,2,70.0,0.65,B-/C+,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://www.cameco.com/,,https://www.cameco.com/
Known_preFID_2036_critical,Etango-8,Namibia,1.5,1.5,2026,3,75.0,0.9,A/B,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://bannermanenergy.com/etango-strategic-financing-with-leading-global-integrated-nuclear-utility-cnnc/,,https://bannermanenergy.com/etango-construction-early-works-update-march-2026/
Known_preFID_2036_critical,Tumas,Namibia,1.3847219016847447,1.3847219016847447,2026,2,95.0,0.78,C,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://deepyellow.com.au/,,https://deepyellow.com.au/about-us/growth-strategy/
Known_preFID_2036_critical,Mulga Rock,Australia,1.3462574044157243,1.3462574044157243,2028,3,105.0,0.5,B-/C+,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://deepyellow.com.au/projects/project-overview/,,https://deepyellow.com.au/projects/project-overview/
Known_preFID_2036_critical,Letlhakane,Botswana,1.153935,1.153935,2029,3,95.0,0.3,D,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://lotusresources.com.au/projects/letlhakane-overview,,https://lotusresources.com.au/corporate/our-story
