year,reactor_requirements_ktu,mine_production_ktu,mine_coverage_difference_ktu,demand_method,mine_method,demand_source,mine_source
2015,66.883,60.342,6.541,WNA当年反应堆需求估计,WNA全球矿山产量统计,https://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-august-2015,https://world-nuclear.org/information-library/facts-and-figures/uranium-production-by-country
2016,63.404,63.207,0.197,WNA当年反应堆需求估计,WNA全球矿山产量统计,https://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requi-%281%29,https://world-nuclear.org/information-library/facts-and-figures/uranium-production-by-country
2017,65.014,60.462,4.552,WNA当年反应堆需求估计,WNA全球矿山产量统计,https://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requ-%287%29,https://world-nuclear.org/information-library/facts-and-figures/uranium-production-by-country
2018,65.014,54.154,10.860,WNA当年反应堆需求估计,WNA全球矿山产量统计,https://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-april-2018,https://world-nuclear.org/information-library/facts-and-figures/uranium-production-by-country
2019,68.240,54.742,13.498,WNA当年反应堆需求估计,WNA全球矿山产量统计,https://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requ-%2812%29,https://world-nuclear.org/information-library/facts-and-figures/uranium-production-by-country
2020,68.240,47.731,20.509,WNA当年反应堆需求估计,WNA全球矿山产量统计,https://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requ-%284%29,https://world-nuclear.org/information-library/facts-and-figures/uranium-production-by-country
2021,62.496,47.805,14.691,WNA当年反应堆需求估计,WNA全球矿山产量统计,https://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requ-%287%29,https://world-nuclear.org/information-library/facts-and-figures/uranium-production-by-country
2022,66.700,49.614,17.086,按WNA披露矿山覆盖约74%反推并取一位小数,WNA全球矿山产量统计,https://world-nuclear.org/information-library/nuclear-fuel-cycle/uranium-resources/uranium-markets,https://world-nuclear.org/information-library/facts-and-figures/uranium-production-by-country
2023,65.651,54.433,11.218,WNA当年反应堆需求估计,WNA全球矿山产量统计,https://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/world-nuclear-power-reactors-and-uranium-requ-%2815%29,https://world-nuclear.org/information-library/facts-and-figures/uranium-production-by-country
2024,67.517,60.213,7.304,WNA当年反应堆需求估计,WNA全球矿山产量统计,https://world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-archive/reactor-archive-december-2024,https://world-nuclear.org/information-library/facts-and-figures/uranium-production-by-country
2025,68.920,62.697,6.223,WNA 2025核燃料报告估计,UxC 1.63亿磅U3O8估算并换算为tU,https://world-nuclear.org/news-and-media/press-statements/world-nuclear-fuel-report-2025-investment-in-nuclear-fuel-cycle-needed-as-demand-for-nuclear-power-grows,https://www.sec.gov/Archives/edgar/data/1063259/000110465926036912/dnn-20251231xex99d1.htm
2026,72.500,66.928,5.572,2025 WNA需求与2027 Reference线性桥接,UxC 1.74亿磅U3O8预测并换算为tU,https://world-nuclear.org/news-and-media/press-statements/world-nuclear-fuel-report-2025-investment-in-nuclear-fuel-cycle-needed-as-demand-for-nuclear-power-grows,https://www.sec.gov/Archives/edgar/data/1063259/000110465926036912/dnn-20251231xex99d1.htm
