run_id,company,listed_entity,consolidation_scope,period,frequency,metric_id,metric_name,metric_group,business_module,value,unit,currency,scale,value_type,scenario,source_id,confidence,estimate_method,low_value,base_value,high_value,note
CU_PHASE1_20260803_V1,中国联通,A/H,Control/权益桥接,2025,Point,CTRL_RUN_ID,运行编号,Control,Equity Bridge,CU_PHASE1_20260803_V1,text,,1,Assumption,Actual,S_FRAMEWORK,High,,,,,
CU_PHASE1_20260803_V1,中国联通,A/H,Control/权益桥接,2025,Point,CTRL_LATEST_PERIOD,最新公开财务期,Control,Equity Bridge,2026Q1,text,,1,Assumption,Actual,S_A2026Q1,High,,,,,
CU_PHASE1_20260803_V1,中国联通,A/H,Control/权益桥接,2025,Point,MODEL_DISCOUNT_RATE,折现率/要求回报率,Control,Equity Bridge,0.11,%,CNY,1,Assumption,Actual,S_FRAMEWORK,High,,,,,
CU_PHASE1_20260803_V1,中国联通,A/H,Control/权益桥接,2025,Point,MODEL_TERMINAL_GROWTH,永续增长率,Control,Equity Bridge,0.02,%,CNY,1,Assumption,Actual,S_FRAMEWORK,High,,,,,
CU_PHASE1_20260803_V1,中国联通,A/H,Control/权益桥接,2025,Point,ENTITY_A_SHARES_OUT,A股总股本,Control,Equity Bridge,31264425327,shares,,1,Actual,Actual,S_A2025,High,,,,,2026注销事项在Phase 4前刷新。
CU_PHASE1_20260803_V1,中国联通,A/H,Control/权益桥接,2025,Point,ENTITY_H_SHARES_OUT,H股已发行股份,Control,Equity Bridge,30598000000,shares,,1,Estimated,Actual,S_H2025,High,,,,,约30.6十亿股。
CU_PHASE1_20260803_V1,中国联通,A/H,Control/权益桥接,2025,Point,ENTITY_GROUP_OWN_A_PCT,联通集团持有A股比例,Control,Equity Bridge,0.635,%,CNY,1,Actual,Actual,S_H2025,High,,,,,
CU_PHASE1_20260803_V1,中国联通,A/H,Control/权益桥接,2025,Point,ENTITY_A_OWN_BVI_PCT,A股持有联通BVI比例,Control,Equity Bridge,0.821,%,CNY,1,Actual,Actual,S_A2025,High,,,,,
CU_PHASE1_20260803_V1,中国联通,A/H,Control/权益桥接,2025,Point,ENTITY_BVI_OWN_H_PCT,联通BVI持有H股比例,Control,Equity Bridge,0.5352,%,CNY,1,Actual,Actual,S_A2025,High,,,,,
CU_PHASE1_20260803_V1,中国联通,A/H,Control/权益桥接,2025,Point,ENTITY_GROUP_BVI_OWN_H_PCT,集团BVI持有H股比例,Control,Equity Bridge,0.2641,%,CNY,1,Actual,Actual,S_A2025,High,,,,,
