year,phase,Reference_demand_ktU,Base_structural_secondary_ktU,primary_P50_current_LT_ktU,primary_P50_price_saturation_ktU,annual_gap_current_LT_ktU,annual_gap_price_saturation_ktU,extra_primary_from_price_saturation_ktU,LT_required_real_P50_USD_lb,LT_censored_share_ge_300,finite_spot_share,spot_real_conditional_P50_USD_lb,spot_real_conditional_P90_USD_lb,spot_gt_200_finite_lower_bound,spot_gt_200_unresolved_upper_bound,market_dysfunction_probability,hard_physical_shortage_proxy_probability,seller_scarcity_probability,tight_inventory_probability,buyer_comfortable_probability,median_demand_schedule_response_ktU,P90_demand_schedule_response_ktU,median_inventory_remaining_pct_initial
2027,库存桥接/紧平衡前段,76.07277461432554,3.5,69.78400000000002,69.78400000000002,2.7887746143255185,2.7887746143255185,0.0,100.5,0.2463,0.7537,97.97890154618042,128.55094926031526,0.0026,0.2489,0.0,0.0,0.0,0.75125,0.00245,0.0,0.0,0.9814487639226741
2028,库存桥接/紧平衡前段,79.92290307306683,3.3,72.66936173551811,72.8929943226402,3.953541337548728,3.729908750426631,0.223632587122097,100.5,0.2463,0.7537,98.95695605079311,130.3749118833175,0.0033,0.2496,0.0,0.0,0.0,0.75075,0.00295,0.0,0.0,0.9558915851557283
2029,库存桥接/紧平衡前段,83.96789085203093,3.1,77.34520000000003,78.01729982306335,3.5226908520309053,2.8505910289675853,0.67209982306332,100.5,0.2463,0.7537,98.4661938243871,130.15897509584647,0.0032,0.2495,0.0,0.0,0.0,0.69785,0.05585,0.0,0.0,0.9341189809854524
2030,库存桥接/紧平衡前段,88.21759999999998,3.0,81.18718941226246,82.24813101353948,4.030410587737521,2.969468986460498,1.0609416012770225,100.5,0.2463,0.7537,98.14521544294058,129.53913971376903,0.00295,0.24925,0.0,0.0,0.0,0.63195,0.12175,0.0,0.0,0.9149990306597093
2031,库存桥接/紧平衡前段,93.0594707274712,2.9,86.97277669139902,88.62320774859575,3.1866940360721685,1.5362629788754418,1.6504310571967267,100.5,0.2463,0.7537,96.89863130015392,127.30981287894585,0.00255,0.24885,0.0,0.0,0.0,0.44465,0.30905,0.0,0.0,0.9046440650991432
2032,库存桥接/紧平衡前段,98.16709015068497,2.8,92.460551073005,94.54177988868312,2.906539077679966,0.8253102620018495,2.0812288156781165,100.5,0.2463,0.7537,96.09636580233031,125.45840567475803,0.00225,0.24855,0.0,0.0,0.0,0.31585,0.43785,0.0,0.0,0.9002984652305935
2033,库存桥接/紧平衡前段,103.5550440306548,2.7,95.25512029935595,97.79778462164117,5.599923731298844,3.057259409013625,2.542664322285219,100.5,0.2463,0.7537,98.10039577460955,128.73711498084288,0.00275,0.24905,0.0,0.0,0.0,0.50355,0.25015,0.0,0.0,0.8808983752943891
2034,紧平衡显性化,109.23871867578251,2.6,95.51910668194412,98.39242594760475,11.11961199383839,8.246292728177764,2.8733192656606263,100.5,0.2463,0.7537,104.05969818380797,137.39772477584228,0.0048,0.2511,0.0,0.0,0.0,0.67585,0.07785,0.0,0.0,0.827307960824778
2035,稀缺转换窗口,115.23434488033502,2.5,94.77219068786059,97.85895110475667,17.96215419247443,14.875393775578345,3.086760416896084,100.5,0.2463,0.7537,117.27724940483799,162.5727108227106,0.0197,0.266,0.0,0.0,0.06005,0.6797,0.01395,0.0,0.0,0.7299920859016911
2036,高非线性尾部窗口,121.55904427450821,2.5,93.23508686034315,96.48033839455675,25.823957414165065,22.578705879951457,3.245251534213608,100.5,0.2463,0.7537,171.21414616273842,351.13039031217164,0.31035,0.55665,5e-05,0.0,0.49965,0.2528,0.00125,0.0,13.319374597167148,0.5877638763637358
