run_id,company,listed_entity,consolidation_scope,period,frequency,metric_id,metric_name,metric_group,business_module,value,unit,currency,scale,value_type,scenario,source_id,confidence,estimate_method,low_value,base_value,high_value,note
CM_PHASE1_20260803,中国移动,中国移动有限公司（A股600941；H股941/80941）,China Mobile Limited及其附属公司合并口径,2020FY,Annual,FIN_REV_PRINCIPAL,主营业务/通信服务收入,Financial,Group,695692,RMB mn,RMB,1,Actual,Actual,SRC_A010,High,,,,,
CM_PHASE1_20260803,中国移动,中国移动有限公司（A股600941；H股941/80941）,China Mobile Limited及其附属公司合并口径,2021FY,Annual,FIN_REV_PRINCIPAL,主营业务/通信服务收入,Financial,Group,751409,RMB mn,RMB,1,Actual,Actual,SRC_A010,High,,,,,
CM_PHASE1_20260803,中国移动,中国移动有限公司（A股600941；H股941/80941）,China Mobile Limited及其附属公司合并口径,2022FY,Annual,FIN_REV_PRINCIPAL,主营业务/通信服务收入,Financial,Group,812058,RMB mn,RMB,1,Actual,Actual,SRC_A011,High,,,,,
CM_PHASE1_20260803,中国移动,中国移动有限公司（A股600941；H股941/80941）,China Mobile Limited及其附属公司合并口径,2023FY,Annual,FIN_REV_PRINCIPAL,主营业务/通信服务收入,Financial,Group,863514,RMB mn,RMB,1,Actual,Actual,SRC_A012,High,,,,,
CM_PHASE1_20260803,中国移动,中国移动有限公司（A股600941；H股941/80941）,China Mobile Limited及其附属公司合并口径,2024FY,Annual,FIN_REV_PRINCIPAL,主营业务/通信服务收入,Financial,Group,889468,RMB mn,RMB,1,Actual,Actual,SRC_A013,High,,,,,
CM_PHASE1_20260803,中国移动,中国移动有限公司（A股600941；H股941/80941）,China Mobile Limited及其附属公司合并口径,2025FY,Annual,FIN_REV_PRINCIPAL,主营业务/通信服务收入,Financial,Group,895530,RMB mn,RMB,1,Actual,Actual,SRC_A002,High,,,,,
CM_PHASE1_20260803,中国移动,中国移动有限公司（A股600941；H股941/80941）,China Mobile Limited及其附属公司合并口径,2020FY,Annual,FIN_REV_OTHER,其他业务收入,Financial,Group,72378,RMB mn,RMB,1,Actual,Actual,SRC_A010,High,,,,,
CM_PHASE1_20260803,中国移动,中国移动有限公司（A股600941；H股941/80941）,China Mobile Limited及其附属公司合并口径,2021FY,Annual,FIN_REV_OTHER,其他业务收入,Financial,Group,96849,RMB mn,RMB,1,Actual,Actual,SRC_A010,High,,,,,
CM_PHASE1_20260803,中国移动,中国移动有限公司（A股600941；H股941/80941）,China Mobile Limited及其附属公司合并口径,2022FY,Annual,FIN_REV_OTHER,其他业务收入,Financial,Group,125201,RMB mn,RMB,1,Actual,Actual,SRC_A011,High,,,,,
CM_PHASE1_20260803,中国移动,中国移动有限公司（A股600941；H股941/80941）,China Mobile Limited及其附属公司合并口径,2023FY,Annual,FIN_REV_OTHER,其他业务收入,Financial,Group,145795,RMB mn,RMB,1,Actual,Actual,SRC_A012,High,,,,,
