Sheet,Cell,Formula
00_Summary,C8,='04_Zangge_Valuation'!B18
00_Summary,D8,='04_Zangge_Valuation'!C18
00_Summary,E8,='04_Zangge_Valuation'!D18
00_Summary,F8,='04_Zangge_Valuation'!E18
00_Summary,G8,='04_Zangge_Valuation'!F18
00_Summary,H8,='04_Zangge_Valuation'!K18
00_Summary,C9,='04_Zangge_Valuation'!B27
00_Summary,D9,='04_Zangge_Valuation'!C27
00_Summary,E9,='04_Zangge_Valuation'!D27
00_Summary,F9,='04_Zangge_Valuation'!E27
00_Summary,G9,='04_Zangge_Valuation'!F27
00_Summary,H9,='04_Zangge_Valuation'!K27
00_Summary,C10,='04_Zangge_Valuation'!B23
00_Summary,D10,='04_Zangge_Valuation'!C23
00_Summary,E10,='04_Zangge_Valuation'!D23
00_Summary,F10,='04_Zangge_Valuation'!E23
00_Summary,G10,='04_Zangge_Valuation'!F23
00_Summary,H10,='04_Zangge_Valuation'!K23
00_Summary,C11,='06_Zijin_Valuation'!B27
00_Summary,D11,='06_Zijin_Valuation'!C27
00_Summary,E11,='06_Zijin_Valuation'!D27
00_Summary,F11,='06_Zijin_Valuation'!E27
00_Summary,G11,='06_Zijin_Valuation'!F27
00_Summary,H11,='06_Zijin_Valuation'!K27
00_Summary,C12,='06_Zijin_Valuation'!B38
00_Summary,D12,='06_Zijin_Valuation'!C38
00_Summary,E12,='06_Zijin_Valuation'!D38
00_Summary,F12,='06_Zijin_Valuation'!E38
00_Summary,G12,='06_Zijin_Valuation'!F38
00_Summary,H12,='06_Zijin_Valuation'!K38
00_Summary,C13,='06_Zijin_Valuation'!B34
00_Summary,D13,='06_Zijin_Valuation'!C34
00_Summary,E13,='06_Zijin_Valuation'!D34
00_Summary,F13,='06_Zijin_Valuation'!E34
00_Summary,G13,='06_Zijin_Valuation'!F34
00_Summary,H13,='06_Zijin_Valuation'!K34
00_Summary,B17,='04_Zangge_Valuation'!B7
00_Summary,C17,='04_Zangge_Valuation'!F7
00_Summary,D17,='04_Zangge_Valuation'!K7
00_Summary,E17,='04_Zangge_Valuation'!B10
00_Summary,F17,='04_Zangge_Valuation'!F10
00_Summary,G17,='04_Zangge_Valuation'!K10
00_Summary,H17,='04_Zangge_Valuation'!B13
00_Summary,I17,='04_Zangge_Valuation'!F13
00_Summary,J17,='04_Zangge_Valuation'!K13
00_Summary,B18,='06_Zijin_Valuation'!B5
00_Summary,C18,='06_Zijin_Valuation'!F5
00_Summary,D18,='06_Zijin_Valuation'!K5
00_Summary,E18,='06_Zijin_Valuation'!B7
00_Summary,F18,='06_Zijin_Valuation'!F7
00_Summary,G18,='06_Zijin_Valuation'!K7
00_Summary,H18,='06_Zijin_Valuation'!B9
00_Summary,I18,='06_Zijin_Valuation'!F9
00_Summary,J18,='06_Zijin_Valuation'!K9
00_Summary,B22,='02_Shared_Julong'!B17
00_Summary,C22,='02_Shared_Julong'!B23
00_Summary,D22,='02_Shared_Julong'!B24
00_Summary,E22,=C22/('04_Zangge_Valuation'!B18*'07_Assumptions'!$B$9)
00_Summary,F22,=D22/'06_Zijin_Valuation'!B25
00_Summary,C23,=('03_Zangge_Unique'!B25+'03_Zangge_Unique'!B28+2.403)
00_Summary,D23,=C23*'07_Assumptions'!$B$7
