app_id,app_name,historical_name,bundle_package_id,owner,month,country,platform,downloads,mau,dau,store_revenue,rank_category,rank_grossing,rating,rating_count,review_increment,update_count,data_provider,secondary_check,confidence,collected_date,note
MOMO-APP-001,Momo,陌陌,,Hello Group / Beijing Momo IT,2026-08,China,Combined,,,,,,,,,,,Company filing,App identity pending,medium,2026-08-01,Tier 1 core domestic app. Package/bundle ID not independently verified in P1; no public monthly download/MAU/revenue series used.
MOMO-APP-002,Tantan,探探,iOS 861891048; Android com.tantantribe.tribe,Hello Group / Tantan,2026-08,China,iOS,,,,,22,,4.8,1200000,,,Apple App Store China,Google Play current package,medium,2026-08-01,"Tier 1. Rating count is cumulative and category rank is a point-in-time snapshot, not monthly activity. Historical Android package migration requires P2 verification."
MOMO-APP-003,SoulChill,,iOS 1480806900; Android com.live.soulchill,Hello Group / SpaceCape,2026-08,Global,Android,,,,,,,,,,,Google Play,2025 Form 20-F,medium,2026-08-01,Tier 1 MENA-oriented audio social app. Store description says community exceeds 5m worldwide; this is not MAU or downloads. Turkey removal order risk requires current-status check.
MOMO-APP-004,Happn,,Android com.ftw_and_co.happn,Hello Group / HAPPN,2026-08,Global,Android,,,,,,,3.99,2000000,,,AppBrain,Hello Group 2025 Form 20-F,medium,2026-08-01,"P2 correction: cumulative Android downloads are approximately 120m and are kept in note, not in the monthly downloads field; rolling 30-day downloads are stored in 2026-07 row. | P2 replacement of prior snapshot key"
MOMO-APP-004,Happn,,iOS 489185828,Hello Group / happn,2026-08,Japan,iOS,,,,,,,4.1,2143,,,Apple App Store Japan,Google Play Global,medium,2026-08-01,"Point-in-time local store rating snapshot; cumulative rating count, not active users."
MOMO-APP-005,Yaahlan,,iOS 6448329713; Android com.immomo.biz.yaahlan,Hello Group / developer account linked to Momo,2026-08,MENA,Android,,,,,,,,,,,Google Play,2025 Form 20-F brand list,medium,2026-08-01,Tier 2 Arabic voice chat and social games. Exact country-level scale and revenue require paid app intelligence or public proxies in P2.
MOMO-APP-006,Amar,,Android com.immomo.biz.ddoversea,Hello Group / developer account linked to Momo,2026-07,MENA,Android,,,,,,,,,,,Google Play,2025 Form 20-F brand list,medium,2026-08-01,Tier 2. Store showed update on 2026-07-14. No monthly scale metrics available publicly in P1.
MOMO-APP-007,Hertz,,,Hello Group (20-F incubated product reference),2026-08,Unknown,Combined,,,,,,,,,,,2025 Form 20-F,Identity pending,low,2026-08-01,"Tier 3. Package ID, operating status and current scale not verified."
MOMO-APP-008,Duidui,对对,,Hello Group (20-F incubated product reference),2026-08,Unknown,Combined,,,,,,,,,,,2025 Form 20-F,Identity pending,low,2026-08-01,"Tier 3. Package ID, operating status and current scale not verified."
MOMO-APP-009,Tietie,贴贴,,Hello Group (historical incubated product reference),2026-08,Unknown,Combined,,,,,,,,,,,2025 Form 20-F,Identity pending,low,2026-08-01,Tier 3. Current operating status not verified.
MOMO-WATCH-001,SUGO,,,Unconfirmed,2026-08,MENA/Unknown,Combined,,,,,,,,,,,Public web references,Ownership not confirmed,low,2026-08-01,Watchlist only. Must not be included in MOMO growth valuation until ownership is confirmed.
MOMO-WATCH-002,Saada,,,Unconfirmed,2026-08,MENA/Unknown,Combined,,,,,,,,,,,Public web references,Ownership not confirmed,low,2026-08-01,Watchlist only. Must not be included in MOMO growth valuation until ownership is confirmed.
