Company,Year,Normalized NI (RMB bn),Shares (bn),Normalized EPS,9x Value,11x Value,13x Value
Zangge,2026,7.471252095357095,1.568914754,4.762051014122273,42.85845912710045,52.382561155345,61.906663183589544
Zijin,2026,82.99925132862325,27.5,3.018154593768118,27.16339134391306,33.199700531449295,39.23600971898553
Zangge,2027,7.306753057032382,1.568914754,4.657202080867411,41.914818727806704,51.229222889541525,60.543627051276346
Zijin,2027,87.57037940951795,27.6,3.1728398336781867,28.55555850310368,34.901238170460054,41.246917837816426
Zangge,2028,7.373383718633829,1.568914754,4.699671349150835,42.29704214235751,51.696384840659185,61.09572753896085
Zijin,2028,90.61975031407076,27.75,3.265576587894442,29.39018929104998,35.92134246683886,42.452495642627746
Zangge,2029,7.639922493697591,1.568914754,4.86955870242112,43.826028321790076,53.56514572663232,63.304263131474556
Zijin,2029,93.12921785456882,27.9,3.337964797654797,30.041683178893173,36.71761277420276,43.39354236951236
Zangge,2030,8.058777846838655,1.568914754,5.136530092723352,46.22877083451017,56.501831019956875,66.77489120540358
Zijin,2030,97.29103550407642,28.0,3.4746798394313005,31.272118554881704,38.22147823374431,45.170837912606906
