source_id,company,document_name,document_type,publish_date,reporting_period,accessed_date,url_or_file,page_or_section,supported_metric_id,source_grade,summary,note
SRC_U001,中国移动,中国运营商投资价值调研_Agent分步执行手册_V2.0_Review修订版,用户上传研究框架,,Framework V2.0,2026-08-03,/mnt/data/中国运营商投资价值调研_Agent分步执行手册_V2.0_Review修订版(2).md,Phase 1、G1、中国移动扩展包、文件与表格设计,研究范围、Gate、字段结构、数据等级、估值参数,User,规定Phase 1一次性建立2020—2025及最新公开期数据底座，并区分Actual、Derived、Estimated和Assumption。,本阶段执行依据。
SRC_A010,中国移动,中国移动有限公司2021年年度报告,经审计年度报告,2022-04-13,2020FY-2021FY,2026-08-03,https://www.hkexnews.hk/listedco/listconews/sehk/2022/0413/2022041301185.pdf,财务概要、合并财务报表、经营业绩、关键运营数据,2020—2021财务、现金流、CHBN、客户与ARPU,A,支持2020—2021财务报表、资本开支、自由现金流、移动和家庭业务运营数据。,
SRC_A011,中国移动,中国移动有限公司2022年年度报告,经审计年度报告,2023-04-13,2022FY,2026-08-03,https://www.hkexnews.hk/listedco/listconews/sehk/2023/0413/2023041300726.pdf,财务概要、合并财务报表、经营业绩、关键运营数据,2022财务、现金流、CHBN、客户与ARPU,A,支持2022年经审计财务和运营数据，并提供部分2021年重述比较数。,
SRC_A012,中国移动,中国移动有限公司2023年年度报告,经审计年度报告,2024-04-15,2023FY,2026-08-03,https://www.hkexnews.hk/listedco/listconews/sehk/2024/0415/2024041500629.pdf,财务概要、合并财务报表、经营业绩、关键运营数据,2023财务、现金流、CHBN、客户与ARPU,A,支持2023年经审计财务及运营数据，并首次并列披露5G网络客户口径。,
SRC_A013,中国移动,中国移动有限公司2024年年度报告,经审计年度报告,2025-04-11,2024FY,2026-08-03,https://www.hkexnews.hk/listedco/listconews/sehk/2025/0411/2025041100488.pdf,财务概要、合并财务报表、经营业绩、关键运营数据,2024财务、现金流、CHBN、客户与ARPU、移动云,A,"支持2024年经审计财务和运营数据；CHBN仍为主要披露层，移动云收入为1,004亿元。",
SRC_A002,中国移动,中国移动有限公司2025年年度报告,经审计年度报告,2026-04-23,2025FY,2026-08-03,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300752.pdf,业务回顾、关键运营数据、财务概要、合并财务报表及附注,2025财务、通信/算力/智能三主业、客户、资本开支、分红、股本,A,"2025年主营业务收入8,955.30亿元；通信、算力和智能服务收入分别约7,149、898和908亿元。",
SRC_A003,中国移动,Results for the First Quarter of 2026,季度业绩公告,2026-04-20,2026Q1,2026-08-03,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0420/2026042001454.pdf,Selected KPIs、income statement、balance sheet、cash flow statement,2026Q1财务、成本、资产负债和现金流,A,"2026Q1收入2,664.78亿元，主营业务收入2,198.53亿元，归母净利润293.42亿元。",未经审计。
SRC_A004,中国移动,中国移动有限公司2026年第一季度客户数据公告,运营数据公告,2026-04-20,2026Q1,2026-08-03,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-21/600941_20260421_NS0E.pdf,全文,移动、5G网络、宽带联网和物联网连接数,A,2026Q1移动客户10.08929亿、5G网络客户6.68002亿、宽带联网客户3.33117亿、物联网卡连接15.04159亿。,
SRC_A005,中国移动,Monthly Return for the month ended 30 June 2026,证券变动月报表,2026-07-03,2026-06-30,2026-08-03,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0703/2026070301588.pdf,II. Issued Shares；III. Share Options,最新股本、存续期权和行权价,A,2026年6月末总已发行股份约216.84亿股，存续期权约4.89亿份。,
SRC_A006,中国移动,上海证券交易所600941行情,交易所行情,2026-07-31,2026-07-31,2026-08-03,https://english.sse.com.cn/markets/equities/list/overview/?COMPANY_CODE=600941&STOCK_CODE=600941,Quote,MKT_PRICE_A,A,2026年7月31日A股收盘价97.41元。,
SRC_A007,中国移动,香港交易所941行情,交易所行情,2026-07-31,2026-07-31,2026-08-03,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=en&sym=941,Quote,MKT_PRICE_H,A,2026年7月31日H股收盘价83.65港元。,
SRC_A008,中国移动,中国外汇交易中心人民币汇率中间价,官方汇率,2026-07-31,2026-07-31,2026-08-03,https://www.chinamoney.com.cn/chinese/bkccpr/,2026-07-31 HKD/CNY,MKT_FX_HKD_CNY,A,2026年7月31日1港元兑0.86559元人民币。,
SRC_A009,中国移动,关于电信服务增值税税目适用范围调整的公告,重大税务事项公告,2026-02-02,2026起,2026-08-03,https://www.sse.com.cn/disclosure/listedinfo/summaries/indexDetail.shtml?SEQ=334594418,公告摘要,TAX_VAT_RATE_DATA_BB及2026可比口径,A,自2026年1月1日起，手机流量、短信和彩信、互联网宽带接入增值税率由6%调整为9%。,公司未在该公告中给出完整量化影响。
SRC_B001,行业,2025年通信业统计公报公开摘要,工信部数据公开转载/摘要,2026-01,2025FY,2026-08-03,https://www.news.cn/tech/20260128/2b4cab615e1d4bb780e69ffc620f5e76/c.html,全文,行业收入、移动数据、宽带、云和物联网边界,C,"2025年电信业务收入约1.75万亿元；新兴业务收入4,508亿元；固定宽带收入2,896亿元；移动数据流量业务收入6,097亿元。",使用公开摘要交叉验证，不替代公司财报。
SRC_A_CT25,中国电信,中国电信2025年度业绩及年度报告,官方年度业绩/经审计年度报告,2026-03,2025FY,2026-08-03,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0325/2026032500846.pdf,财务摘要、业务回顾、资本开支,2025同业轻量对标,A,"2025年收入5,295.59亿元、服务收入4,854.24亿元、归母利润331.85亿元、资本开支804亿元。",
SRC_A_CU25,中国联通,中国联通（香港）2025年年度报告,经审计年度报告,2026-03,2025FY,2026-08-03,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0324/2026032400813.pdf,财务摘要、业务回顾、资本开支和现金流,2025同业轻量对标,A,"2025年收入3,922.2亿元、服务收入3,477.4亿元、归母利润208.2亿元、资本开支541.5亿元。",
SRC_C_EMP20,中国移动,2020年员工人数公开摘要,第三方公开摘要,2021,2020FY,2026-08-03,https://www.macrotrends.net/stocks/charts/CHL/china-mobile/number-of-employees,2020 employee count,OP_EMPLOYEES,C,"用于补齐2020年员工人数454,332人；不作为估值核心基数。",2021—2025员工数均使用公司官方年报。
SRC_A016,中国移动,中国移动2025年度业绩公告,官方年度业绩公告,2026-03-26,2025FY,2026-08-03,https://www.hkexnews.hk/listedco/listconews/sehk/2026/0326/2026032600468.pdf,主席报告、业务回顾、收入及成本附注、应收账款、资本承诺及期后事项,收入细分、三大主业、成本、应收账款账龄、AIDC/智算、VAT,A,支持2025年通信/算力/智能收入、收入细分、成本变化、应收账款账龄及增值税调整。,
SRC_A017,中国移动,中国移动2026年第一季度业绩公告,官方季度业绩公告,2026-04-20,2026Q1,2026-08-03,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0420/2026042001454.pdf,业绩摘要、利润表、资产负债表及现金流,2026Q1收入、利润、客户、成本、应收和现金流,A,2026Q1主营收入同比下降1.1%，EBITDA下降5.0%，归母利润下降4.2%。,
SRC_G001,中国通信业,2025年通信业统计公报,工信部官方统计,2026-01-28,2025FY,2026-08-03,https://www.miit.gov.cn/gxsj/tjfx/txy/art/2026/art_5c99d65350f7452f999e8efcb1ee2d6a.html,行业收入、用户、流量、基础设施,行业移动数据、宽带、新兴业务、用户、IoT、流量、数据中心机架,A,行业移动数据收入下降3.1%，流量增长17.3%；宽带收入增长5.9%；新兴业务收入增长4.7%。,工信部初步统计；定义与公司口径需单独核对。
SRC_G002,中国通信业,2026年前5个月通信业经济运行情况,工信部官方统计,2026-06-26,2026M5,2026-08-03,https://www.miit.gov.cn/gxsj/tjfx/txy/art/2026/art_aa39346aefa948cea3977468605ca5b9.html,总体运行、用户、业务使用和通信能力,2026行业收入、宽带、5G、IoT、流量和基站,A,前5个月电信收入下降1.9%，业务总量增长7.9%，流量增长17.9%，用户和基础设施继续增长。,
SRC_G003,中国通信业,2026年上半年工业和信息化发展新闻发布会,工信部官方发布,2026-07,2026H1,2026-08-03,https://www.miit.gov.cn/xwfb/bldhd/art/2026/art_bc4cf76777cb4fd2896082ca2ff7039d.html,信息通信业答记者问,智能算力、5G基站、行业专网和5G工厂,A,"截至2026年6月底智能算力规模2,185 EFLOPS，同比增长177%；5G基站510.2万个。",全国口径，不代表运营商收入或利用率。
SRC_A_CT25P,中国电信,中国电信2025年度业绩演示,官方业绩演示,2026-03-24,2025FY,2026-08-03,https://www.chinatelecom-h.com/en/ir/presentations/annpre260324.pdf,基础业务、产业数字化、云、AIDC和ARPU,同业移动ARPU、宽带ARPU、云和AIDC边界,A,"中国电信2025年移动ARPU 45.1元、宽带综合ARPU 47.1元、天翼云收入1,207亿元、AIDC收入345亿元。",与中国移动算力服务口径不同，仅作边界验证。
MODEL_P2,中国移动,Phase 2经营诊断与驱动区间,模型推算与假设,2026-08-03,2026E-2030E,2026-08-03,中国移动_Phase2_G2经营诊断_V2.0.md,关键驱动区间和证伪条件,DRV_*、VAT影响、AIDC收入和利润率区间,D,基于官方历史数据、行业统计和同业边界建立Bear/Base/Bull假设。,不是公司披露事实；Phase 3将以公式驱动预测。
SRC_A018,中国移动,香港交易所中国移动最新披露列表,交易所披露检索,2026-08-03,截至2026-08-03,2026-08-03,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&lang=EN&market=SEHK&stockId=2247,Latest information,LATEST_PUBLIC_PERIOD,A,截至2026年8月3日，最新财务结果仍为2026Q1；2026中期业绩尚未在交易所披露列表中出现。,用于确认Phase 3最新反向校验期。
MODEL_P3,中国移动,Phase 3逐年预测、现金流和分红模型,模型预测,2026-08-03,2026E-2035E,2026-08-03,中国移动_Phase3_G3预测模型_V3.0.md,三情景预测、利润贡献、现金流与Q1校验,Forecast metrics,D,依据G2确认的驱动和技术参数形成Bear/Base/Bull逐年预测。,所有预测均非公司指引。
SRC_R001,中国移动,关于规范互联网渠道号卡业务办理的公告,中国移动官方公告,2026-07-31,2026-08-01起,2026-08-03,https://www.10086.cn/aboutus/news/announced/index_detail_55578.html,全文,RUMOR_THIRD_PARTY_CHANNEL_STOP,A,自2026年8月1日起，通过互联网渠道办理中国移动号卡，应使用中国移动APP或官方网站；除官方渠道外，中国移动不再通过第三方互联网平台办理号卡业务。,Phase 5以中国移动10086官网公告替换此前引用的同业官方公告；不支持存量套餐全面统一涨价。
SRC_R002,三大运营商,三大运营商整治号卡乱象,中央媒体采访,2026-08-01,2026-08,2026-08-03,https://www.chinanews.com.cn/cj/2026/08-01/10670379.shtml,全文,RUMOR_CHANNEL_SCOPE;RUMOR_PRICE_EFFECT;RUMOR_REGULATORY_RISK,B,中国移动客服确认调整主要针对第三方渠道；低价大流量卡和多层代理是治理重点。,
SRC_R003,工业和信息化部,2026年上半年工业和信息化发展新闻发布会文字实录,国务院新闻办/工信部官方发布,2026-07,2026H1,2026-08-03,https://www.scio.gov.cn/live/2026/39042/qwxz/202607/P020260722325031238959.pdf,基础电信市场秩序治理,RUMOR_REGULATORY_SUPPORT,A,监管部门提出加强资费管理和营销渠道管控，遏制基础电信市场非理性竞争。,监管同时强调维护用户合法权益。
SRC_R004,通信行业,大流量卡退场与代理产业调查,媒体调查,2026-08-01,2025-2026,2026-08-03,https://www.nbd.com.cn/articles/2026-08-01/4529193.html,第三方售卡、低价套餐和佣金样本,RUMOR_AGENT_COMMISSION_PROXY;RUMOR_LOW_PRICE_PLAN,C,第三方低价套餐常见19.9—29.9元；媒体采访样本显示单卡代理佣金约70—200元。,样本不能直接推算中国移动全国渠道费。
SRC_TAX_A,国家税务总局,上市公司股息红利差别化个人所得税政策,官方税收政策,2015-09-07,现行,2026-08-03,https://fgk.chinatax.gov.cn/zcfgk/c102416/c5203902/content.html,第一条,A_SHARE_DIVIDEND_TAX_LONG_HOLD,A,个人持有上市公司股票超过1年，股息红利所得暂免个人所得税。,
SRC_TAX_H,国家税务总局,深港通税收政策,官方税收政策,2016,现行,2026-08-03,https://fgk.chinatax.gov.cn/zcfgk/c102416/c5203646/content.html,内地个人投资者股息红利,H_SHARE_SOUTHBOUND_DIVIDEND_TAX,A,内地个人通过互联互通投资H股取得股息红利，按20%税率代扣个人所得税。,
MODEL_P4,中国移动,Phase 4估值与套餐/渠道敏感性,模型估值,2026-08-03,2025-2035,2026-08-03,中国移动_Phase4估值与套餐敏感性_V4.0.md,估值方法、IRR和敏感性,VAL_*;RUMOR_*,D,依据Phase 3预测和公开政策建立DCF、DDM、PE、PB、EV/EBITDA及套餐/渠道敏感性。,所有合理价值和情景均为模型结果。
