app_id,app_name,historical_name,bundle_package_id,owner,month,country,platform,downloads,mau,dau,store_revenue,rank_category,rank_grossing,rating,rating_count,review_increment,update_count,data_provider,secondary_check,confidence,collected_date,note
WB_MAIN_ANDROID,微博,,com.sina.weibo,Sina.com / Weibo ecosystem,2026-07,Global_ex_China_store_view,Google Play,,,,,,,3.7,320000,,,Google Play,Company-disclosed group MAU/DAU; Google Play 10m+ installs is only an overseas Android floor,medium,2026-08-01,"Last update 2026-07-26; Google Play is not representative of mainland China. Public store provides cumulative install bucket, not monthly downloads."
WB_INTL_ANDROID,Weibo International,Weibo intl.,com.weico.international,Authorized by Weibo; powered by Weico,2026-07,Global,Google Play,,,,,,,,,,,Google Play,"Apple App Store seller is Beijing Weimeng Internet Technology Co., Ltd.",medium,2026-08-01,Updated 2026-07-10. Economic ownership/traffic and revenue contribution are not disclosed; Tier 3 until verified.
WB_INTL_IOS,Weibo intl.,Weibo International,iOS App ID 1215210046,"Beijing Weimeng Internet Technology Co., Ltd.",2026-08,United States storefront,iOS,,,,,,,,,,,Apple App Store,Copyright SINA Corporation; Android package com.weico.international,high,2026-08-01,Identity snapshot only. In-app purchases are visible but store revenue is not available publicly and would not capture advertising.
WB_APP_DATA_GAP,Weibo app ecosystem,,,Weibo Corporation / related operating entities,2026-08,China,Combined,,,,,,,,,,,P1 data-access audit,Company group-level MAU/DAU and financial disclosures,high,2026-08-01,"No paid country-month app intelligence was available in P1. Do not fabricate monthly China downloads/MAU/revenue; P2 should use a paid provider if access is supplied, otherwise rely on company MAU/DAU plus public proxies."
WB_MAIN_GROUP_METRICS,微博主平台,,com.sina.weibo,Weibo Corporation / PRC operating entities,2024-03,Global_group_disclosure_China_dominant,Combined,,588,255,,,,,,,,Weibo quarterly disclosures,Public overseas store snapshots; not a country-level data substitute,high,2026-08-01,Company-reported group MAU/DAU. Stored here only to preserve the app trend; it is not country-level data.
WB_MAIN_GROUP_METRICS,微博主平台,,com.sina.weibo,Weibo Corporation / PRC operating entities,2024-06,Global_group_disclosure_China_dominant,Combined,,583,256,,,,,,,,Weibo quarterly disclosures,Public overseas store snapshots; not a country-level data substitute,high,2026-08-01,Company-reported group MAU/DAU. Stored here only to preserve the app trend; it is not country-level data.
WB_MAIN_GROUP_METRICS,微博主平台,,com.sina.weibo,Weibo Corporation / PRC operating entities,2024-09,Global_group_disclosure_China_dominant,Combined,,587,257,,,,,,,,Weibo quarterly disclosures,Public overseas store snapshots; not a country-level data substitute,high,2026-08-01,Company-reported group MAU/DAU. Stored here only to preserve the app trend; it is not country-level data.
WB_MAIN_GROUP_METRICS,微博主平台,,com.sina.weibo,Weibo Corporation / PRC operating entities,2024-12,Global_group_disclosure_China_dominant,Combined,,590,260,,,,,,,,Weibo quarterly disclosures,Public overseas store snapshots; not a country-level data substitute,high,2026-08-01,Company-reported group MAU/DAU. Stored here only to preserve the app trend; it is not country-level data.
WB_MAIN_GROUP_METRICS,微博主平台,,com.sina.weibo,Weibo Corporation / PRC operating entities,2025-03,Global_group_disclosure_China_dominant,Combined,,591,261,,,,,,,,Weibo quarterly disclosures,Public overseas store snapshots; not a country-level data substitute,high,2026-08-01,Company-reported group MAU/DAU. Stored here only to preserve the app trend; it is not country-level data.
WB_MAIN_GROUP_METRICS,微博主平台,,com.sina.weibo,Weibo Corporation / PRC operating entities,2025-06,Global_group_disclosure_China_dominant,Combined,,588,261,,,,,,,,Weibo quarterly disclosures,Public overseas store snapshots; not a country-level data substitute,high,2026-08-01,Company-reported group MAU/DAU. Stored here only to preserve the app trend; it is not country-level data.
WB_MAIN_GROUP_METRICS,微博主平台,,com.sina.weibo,Weibo Corporation / PRC operating entities,2025-09,Global_group_disclosure_China_dominant,Combined,,578,257,,,,,,,,Weibo quarterly disclosures,Public overseas store snapshots; not a country-level data substitute,high,2026-08-01,Company-reported group MAU/DAU. Stored here only to preserve the app trend; it is not country-level data.
WB_MAIN_GROUP_METRICS,微博主平台,,com.sina.weibo,Weibo Corporation / PRC operating entities,2025-12,Global_group_disclosure_China_dominant,Combined,,567,252,,,,,,,,Weibo quarterly disclosures,Public overseas store snapshots; not a country-level data substitute,high,2026-08-01,Company-reported group MAU/DAU. Stored here only to preserve the app trend; it is not country-level data.
WB_MAIN_GROUP_METRICS,微博主平台,,com.sina.weibo,Weibo Corporation / PRC operating entities,2026-03,Global_group_disclosure_China_dominant,Combined,,562,254,,,,,,,,Weibo quarterly disclosures,Public overseas store snapshots; not a country-level data substitute,high,2026-08-01,Company-reported group MAU/DAU. Stored here only to preserve the app trend; it is not country-level data.
WB_MAIN_IOS_US,微博,,iOS App ID 350962117,Beijing Weimeng / Weibo ecosystem,2026-08,United States storefront,iOS,,,,,,,2.3,7600,,frequent_weekly,Apple App Store,Company group MAU/DAU; Google Play listing,medium,2026-08-01,"Overseas storefront quality proxy only. Reviews mention bugs, ad load and service issues; not representative of mainland scale."
WB_INTL_ANDROID,Weibo International,,com.weico.international,Authorized by Weibo; powered by Weico,2026-08,Global,Google Play,5000000+,,,,,,3.2,62300,,,Google Play,Apple seller identity and P1 ownership mapping,medium,2026-08-01,"Cumulative install bucket, not monthly downloads. No public MAU/DAU or revenue; remains Tier 3."
