source_id,company,document_name,document_type,publish_date,reporting_period,accessed_date,url_or_file,page_or_section,supported_metric_id,source_grade,summary,note
SRC_FRAMEWORK_V2,中国电信,中国运营商投资价值调研_Agent分步执行手册_V2.0_Review修订版,用户提供框架,,Framework,2026-08-03,/mnt/data/中国运营商投资价值调研_Agent分步执行手册_V2.0_Review修订版(1).md,Phase 1；中国电信扩展包；数据可得性地图,Phase 1 scope and rules,Framework,定义Phase 1数据底座、核心可得/部分可得/不可强求分级及G1条件。,
SRC_CT_2020_RESULTS,中国电信,2020年度业绩演示及年度报告,业绩演示/年报,2021-03-09,FY2020,2026-08-03,https://ar2020.chinatelecom-h.com/English/annual2020.pdf,Key financial information; operating metrics; MDA,"2020 financials, business revenue, KPI, capex, dividend",A,2020 IFRS财务、业务收入、用户ARPU、资本开支和股息。,
SRC_CT_2021_RESULTS,中国电信,2021年度报告及年度业绩演示,年报/业绩演示,2022-03-17,FY2021,2026-08-03,https://www.chinatelecom-h.com/en/ir/report/annual2021.pdf,MDA pp.51-55; financial statements pp.186-193; Notes 16-24,"2020-2021 statements, AR, contract assets, debt, lease, cash flow",A,提供2020-2021可比财务报表、应收、合同资产、债务、租赁负债及现金流。,2021收入采用后续报告重述口径。
SRC_CT_2022_RESULTS,中国电信,2022年度报告及年度业绩演示,年报/业绩演示,2023-03-22,FY2022,2026-08-03,https://www.chinatelecom-h.com/en/ir/report/annual2022.pdf,MDA pp.45-50; results presentation appendices,"2021-2022 financials, business revenue, KPI, capex",A,提供2021重述及2022财务、业务收入、KPI、资本开支与现金流。,
SRC_CT_2023_RESULTS,中国电信,2023年度报告及年度业绩演示,年报/业绩演示,2024-03-26,FY2023,2026-08-03,https://www.chinatelecom-h.com/en/ir/report/annual2023.pdf,MDA pp.35-39; financial statements pp.162-169; Notes 16-24,"2022-2023 financials, AR, contract assets, debt, lease, KPI",A,提供2022-2023财务、应收、合同资产、债务、租赁、业务及运营指标。,
SRC_CT_2024_RESULTS,中国电信,2024年度报告及年度业绩演示,年报/业绩演示,2025-03-25,FY2024,2026-08-03,https://www.chinatelecom-h.com/en/ir/report/annual2024.pdf,"MDA; financial statements; results presentation slides 5-6, 31-33","2023-2024 financials, business disclosures, KPI, capex",A,提供2024财务、产业数字化/云/IDC/安全/智能收入、用户ARPU及资本开支。,
SRC_CT_2025_RESULTS,中国电信,2025年度报告及年度业绩演示,年报/业绩演示,2026-03-24,FY2025,2026-08-03,https://www.chinatelecom-h.com/en/ir/report/annual2025.pdf,"MDA pp.30-35; financial statements pp.148-155; Notes 16-24; presentation slides 5-6,31-33","2024-2025 financials, AR, contract assets, debt, lease, business disclosures, KPI",A,提供2025财务、业务披露、应收及合同资产、债务租赁、用户ARPU和分红。,
SRC_CT_2026Q1,中国电信,2026年第一季度报告,季度报告,2026-04-23,2026Q1,2026-08-03,https://doc.irasia.com/listco/hk/chinatelecom/interim/2026/int1q.pdf,pp.1-13,"2026Q1 financials, users, capex, balance sheet",A,最新公开季度财务、用户、资产负债及现金流校验数据。,
SRC_CT_ESG_2021,中国电信,2021年度企业社会责任报告关键绩效表,ESG/CSR,2022-05-20,2020-2021,2026-08-03,https://www.chinatelecom-h.com/sc/ir/report/csr2021_ashare/csr2021_ashare_10.pdf,关键绩效表，员工数量,OP_EMPLOYEES,A,提供2020-2021员工总数及全职/兼职拆分。,员工总数口径包含合同制、非全日制、派遣及其他从业人员。
SRC_CT_ESG_2023,中国电信,2023年可持续发展报告,ESG,2024-03-27,2022-2023,2026-08-03,https://www.chinatelecom-h.com/sc/ir/report/esg2023.pdf,关键绩效表，员工数量,OP_EMPLOYEES,A,提供2022-2023员工总数。,
SRC_CT_ESG_2025,中国电信,2025年可持续发展（ESG）报告,ESG,2026-03-24,2024-2025,2026-08-03,https://www.chinatelecom-h.com/tc/ir/report/esg2025.pdf,关键绩效表，PDF页85（报告页82）,OP_EMPLOYEES,A,"2025员工277,911人，2024员工277,674人。",
SRC_MIIT_2025,行业,2025年通信业统计公报/运行情况,政府统计,2026-01,FY2025,2026-08-03,https://www.miit.gov.cn/gxsj/tjfx/txy/art/2026/art_5c99d65350f7452f999e8efcb1ee2d6a.html,行业收入、用户、5G、千兆、物联网,IND_*,A,2025通信业收入、移动/5G/宽带/千兆/物联网及基站规模。,URL为来源定位文本；如页面结构更新，按工信部2025年通信业统计公报检索。
SRC_CAict_CLOUD_2024,行业,云计算白皮书（2024年）,行业白皮书,2024-07,2023,2026-08-03,https://www.caict.ac.cn/english/research/whitepapers/202411/P020241129559762200350.pdf,中国云计算市场规模,IND_CLOUD_MARKET,B,2023年中国云计算市场6165亿元，其中公有云4562亿元、私有云1563亿元。,
SRC_CM_2025,中国移动,2025年度业绩,公司官方业绩,2026-03,FY2025,2026-08-03,https://www.chinamobileltd.com/en/ir/financial.php,2025 annual results,PEER_CM_*,A,中国移动2025收入、服务收入、净利润、资本开支、自由现金流及派息率。,
